escenario_codigo,escenario,semilla,corte,ganancia,es_maximo,fileName,date,ref
B100,100%,839999,800,17.739,NO,KAP12_B100_S839999_800.csv,2026-09-09 22:42:15.260000,56131953
B100,100%,839999,850,19.404,SI,KAP12_B100_S839999_850.csv,2026-09-09 22:42:47.170000,56131956
B100,100%,839999,900,18.322,NO,KAP12_B100_S839999_900.csv,2026-09-09 22:43:19.130000,56131959
B100,100%,839999,950,16.989,NO,KAP12_B100_S839999_950.csv,2026-09-09 22:43:51.023000,56131966
B100,100%,839999,1000,15.907,NO,KAP12_B100_S839999_1000.csv,2026-09-09 22:44:23.150000,56131970
B100,100%,839999,1050,17.572,NO,KAP12_B100_S839999_1050.csv,2026-09-09 22:44:55.107000,56131974
B100,100%,839999,1100,16.323,NO,KAP12_B100_S839999_1100.csv,2026-09-09 22:45:27.067000,56131983
B100,100%,839999,1150,15.324,NO,KAP12_B100_S839999_1150.csv,2026-09-09 22:45:59.103000,56131990
B100,100%,839999,1200,14.158,NO,KAP12_B100_S839999_1200.csv,2026-09-09 22:46:31.003000,56131996
B100,100%,839999,1250,16.323,NO,KAP12_B100_S839999_1250.csv,2026-09-09 22:47:03.090000,56132001
B100,100%,839999,1300,15.407,NO,KAP12_B100_S839999_1300.csv,2026-09-09 22:47:34.997000,56132007
U040,40%,839999,800,14.407,NO,KAP12_U040_S839999_800.csv,2026-09-10 18:50:01.223000,56150084
U040,40%,839999,850,16.156,NO,KAP12_U040_S839999_850.csv,2026-09-10 18:50:33.337000,56150089
U040,40%,839999,900,15.157,NO,KAP12_U040_S839999_900.csv,2026-09-10 18:51:05.407000,56150095
U040,40%,839999,950,17.239,SI,KAP12_U040_S839999_950.csv,2026-09-10 18:51:37.377000,56150097
U040,40%,839999,1000,15.657,NO,KAP12_U040_S839999_1000.csv,2026-09-10 18:52:09.480000,56150100
U040,40%,839999,1050,14.407,NO,KAP12_U040_S839999_1050.csv,2026-09-10 18:52:41.540000,56150107
U040,40%,839999,1100,16.656,NO,KAP12_U040_S839999_1100.csv,2026-09-10 18:53:13.493000,56150116
U040,40%,839999,1150,15.24,NO,KAP12_U040_S839999_1150.csv,2026-09-10 18:53:45.493000,56150122
U040,40%,839999,1200,14.657,NO,KAP12_U040_S839999_1200.csv,2026-09-10 18:54:17.443000,56150128
U040,40%,839999,1250,13.658,NO,KAP12_U040_S839999_1250.csv,2026-09-10 18:54:49.613000,56150137
U040,40%,839999,1300,15.823,NO,KAP12_U040_S839999_1300.csv,2026-09-10 18:55:21.640000,56150141
U010,10%,839999,800,14.657,NO,KAP12_U010_S839999_800.csv,2026-09-10 19:52:26.657000,56150822
U010,10%,839999,850,16.24,NO,KAP12_U010_S839999_850.csv,2026-09-10 19:52:58.673000,56150826
U010,10%,839999,900,18.322,SI,KAP12_U010_S839999_900.csv,2026-09-10 19:53:30.637000,56150828
