ref,fileName,date,description,status,publicScore,privateScore
56171738,KAP12_B100_S683731_1000.csv,2026-09-11 19:32:15.640000,envios=1000  semilla=683731,SubmissionStatus.COMPLETE,19.071,
56171741,KAP12_B100_S683731_1050.csv,2026-09-11 19:32:47.757000,envios=1050  semilla=683731,SubmissionStatus.COMPLETE,17.655,
56171744,KAP12_B100_S683731_1100.csv,2026-09-11 19:33:19.903000,envios=1100  semilla=683731,SubmissionStatus.COMPLETE,16.656,
56171753,KAP12_B100_S683731_1150.csv,2026-09-11 19:33:52.037000,envios=1150  semilla=683731,SubmissionStatus.COMPLETE,15.324,
56171759,KAP12_B100_S683731_1200.csv,2026-09-11 19:34:24.317000,envios=1200  semilla=683731,SubmissionStatus.COMPLETE,13.824,
56171763,KAP12_B100_S683731_1250.csv,2026-09-11 19:34:56.410000,envios=1250  semilla=683731,SubmissionStatus.COMPLETE,12.825,
56171770,KAP12_B100_S683731_1300.csv,2026-09-11 19:35:28.557000,envios=1300  semilla=683731,SubmissionStatus.COMPLETE,11.493,
56171702,KAP12_B100_S683731_800.csv,2026-09-11 19:30:06.827000,envios=800  semilla=683731,SubmissionStatus.COMPLETE,17.406,
56171709,KAP12_B100_S683731_850.csv,2026-09-11 19:30:39.137000,envios=850  semilla=683731,SubmissionStatus.COMPLETE,22.902,
56171719,KAP12_B100_S683731_900.csv,2026-09-11 19:31:11.300000,envios=900  semilla=683731,SubmissionStatus.COMPLETE,21.570,
56171730,KAP12_B100_S683731_950.csv,2026-09-11 19:31:43.477000,envios=950  semilla=683731,SubmissionStatus.COMPLETE,20.570,
56175180,KAP12_U001_S683731_1000.csv,2026-09-12 00:44:42.137000,envios=1000 semilla=683731,SubmissionStatus.COMPLETE,18.988,
56175188,KAP12_U001_S683731_1050.csv,2026-09-12 00:45:14.190000,envios=1050 semilla=683731,SubmissionStatus.COMPLETE,17.655,
56175201,KAP12_U001_S683731_1100.csv,2026-09-12 00:45:46.363000,envios=1100 semilla=683731,SubmissionStatus.COMPLETE,23.319,
56175222,KAP12_U001_S683731_1150.csv,2026-09-12 00:46:18.463000,envios=1150 semilla=683731,SubmissionStatus.COMPLETE,21.820,
56175228,KAP12_U001_S683731_1200.csv,2026-09-12 00:46:50.540000,envios=1200 semilla=683731,SubmissionStatus.COMPLETE,20.654,
56175238,KAP12_U001_S683731_1250.csv,2026-09-12 00:47:22.583000,envios=1250 semilla=683731,SubmissionStatus.COMPLETE,19.654,
56175246,KAP12_U001_S683731_1300.csv,2026-09-12 00:47:54.537000,envios=1300 semilla=683731,SubmissionStatus.COMPLETE,21.237,
56175148,KAP12_U001_S683731_800.csv,2026-09-12 00:42:33.810000,envios=800 semilla=683731,SubmissionStatus.COMPLETE,17.322,
56175158,KAP12_U001_S683731_850.csv,2026-09-12 00:43:05.867000,envios=850 semilla=683731,SubmissionStatus.COMPLETE,15.907,
56175165,KAP12_U001_S683731_900.csv,2026-09-12 00:43:38.007000,envios=900 semilla=683731,SubmissionStatus.COMPLETE,17.822,
56175174,KAP12_U001_S683731_950.csv,2026-09-12 00:44:10.067000,envios=950 semilla=683731,SubmissionStatus.COMPLETE,20.237,
56175093,KAP12_U005_S683731_1000.csv,2026-09-12 00:38:49.423000,envios=1000 semilla=683731,SubmissionStatus.COMPLETE,18.821,
56175100,KAP12_U005_S683731_1050.csv,2026-09-12 00:39:21.427000,envios=1050 semilla=683731,SubmissionStatus.COMPLETE,17.905,
56175108,KAP12_U005_S683731_1100.csv,2026-09-12 00:39:53.390000,envios=1100 semilla=683731,SubmissionStatus.COMPLETE,19.904,
56175121,KAP12_U005_S683731_1150.csv,2026-09-12 00:40:25.340000,envios=1150 semilla=683731,SubmissionStatus.COMPLETE,22.069,
56175126,KAP12_U005_S683731_1200.csv,2026-09-12 00:40:57.447000,envios=1200 semilla=683731,SubmissionStatus.COMPLETE,20.987,
