"sem_nro","semilla","escenario","escenario_codigo","ganancia","delta_ganancia_vs_B100","AUC","delta_AUC_vs_B100","registros","reduccion_registros_pct","tiempo_min","ahorro_tiempo_pct"
1,198427,"100%","B100",19.238,0,0.9535994,0,179449,0,14.03,0
1,198427,"40%","U040",19.404,0.166,0.9521889,-0.00141049999999998,72585,59.5511816727873,11.34,19.1732002851033
1,198427,"10%","U010",19.238,0,0.9507084,-0.00289099999999998,19447,89.1629376591678,8.85,36.9208838203849
1,198427,"5%","U005",19.071,-0.166999999999998,0.9494744,-0.00412499999999993,10524,94.1353810832047,8.96,36.1368496079829
1,198427,"1%","U001",18.155,-1.083,0.9413423,-0.0122571,3495,98.0523714258647,7.13,49.1803278688525
2,955939,"100%","B100",21.153,0,0.9542267,0,179449,0,15.03,0
2,955939,"40%","U040",20.654,-0.498999999999999,0.9509865,-0.00324020000000003,73247,59.1822746295605,10.42,30.6719893546241
2,955939,"10%","U010",21.07,-0.0829999999999984,0.9494909,-0.00473579999999996,19548,89.1066542583129,8.56,43.0472388556221
2,955939,"5%","U005",20.57,-0.582999999999998,0.9494527,-0.00477399999999994,10678,94.0495628284359,7.5,50.0998003992016
2,955939,"1%","U001",20.404,-0.748999999999999,0.9420844,-0.0121422999999999,3505,98.0467988119187,6.93,53.8922155688623
3,602257,"100%","B100",22.403,0,0.9522136,0,179449,0,13.85,0
3,602257,"40%","U040",22.403,0,0.9518661,-0.000347499999999945,72917,59.3661708897793,11.28,18.5559566787004
3,602257,"10%","U010",22.403,0,0.9509978,-0.00121579999999999,19355,89.2142057074712,8.74,36.8953068592058
3,602257,"5%","U005",21.487,-0.916,0.9490896,-0.00312400000000002,10463,94.1693740282754,8.25,40.4332129963899
3,602257,"1%","U001",21.403,-1,0.944867,-0.00734659999999998,3460,98.0718755746758,7.74,44.115523465704
4,191099,"100%","B100",19.821,0,0.9528777,0,179449,0,13.86,0
4,191099,"40%","U040",22.236,2.415,0.9525962,-0.000281500000000046,72876,59.389018606958,12,13.4199134199134
4,191099,"10%","U010",20.82,0.998999999999999,0.9496553,-0.00322240000000007,19667,89.0403401523553,8.31,40.04329004329
4,191099,"5%","U005",21.07,1.249,0.947067,-0.00581070000000006,10696,94.0395321233331,7.68,44.5887445887446
4,191099,"1%","U001",20.487,0.665999999999997,0.9385181,-0.0143596,3483,98.0590585626,7.08,48.9177489177489
5,895651,"100%","B100",17.572,0,0.952001,0,179449,0,16.34,0
5,895651,"40%","U040",18.988,1.416,0.9535981,0.00159710000000002,72782,59.4414011780506,10.86,33.5373317013464
5,895651,"10%","U010",19.821,2.249,0.9517325,-0.000268500000000005,19547,89.1072115197075,8.67,46.9400244798042
