"escenario_A","escenario_A_pct","escenario_B","escenario_B_pct","n_pares","A_gana","empates","B_gana","delta_media","delta_mediana"
"B100","100%","U040","40%",12,4,1,7,-0.0209166666666668,-0.125
"B100","100%","U010","10%",12,5,3,4,0.159583333333333,0
"B100","100%","U005","5%",12,8,1,3,0.645416666666666,0.708
"B100","100%","U001","1%",12,7,0,5,0.381666666666667,0.5825
"U040","40%","U010","10%",12,6,1,5,0.1805,0.0419999999999998
"U040","40%","U005","5%",12,10,0,2,0.666333333333333,0.8325
"U040","40%","U001","1%",12,7,0,5,0.402583333333333,0.583
"U010","10%","U005","5%",12,7,1,4,0.485833333333333,0.333499999999999
"U010","10%","U001","1%",12,7,0,5,0.222083333333333,0.416500000000001
"U005","5%","U001","1%",12,8,0,4,-0.26375,0.166500000000001
