"semilla","sem_nro","ganancia_A","ganancia_B","escenario_A","escenario_B","delta_A_menos_B","resultado"
119993,8,21.07,19.821,"B100","U040",1.249,"A gana"
191099,4,19.821,22.236,"B100","U040",-2.415,"B gana"
198427,1,19.238,19.404,"B100","U040",-0.166,"B gana"
299993,9,24.068,24.235,"B100","U040",-0.166999999999998,"B gana"
480013,10,22.486,21.153,"B100","U040",1.333,"A gana"
602257,3,22.403,22.403,"B100","U040",0,"Empate"
659999,11,20.987,21.32,"B100","U040",-0.333000000000002,"B gana"
683731,6,22.902,22.986,"B100","U040",-0.0839999999999996,"B gana"
742801,7,19.738,20.654,"B100","U040",-0.916,"B gana"
839999,12,19.404,17.239,"B100","U040",2.165,"A gana"
895651,5,17.572,18.988,"B100","U040",-1.416,"B gana"
955939,2,21.153,20.654,"B100","U040",0.498999999999999,"A gana"
119993,8,21.07,21.82,"B100","U010",-0.75,"B gana"
191099,4,19.821,20.82,"B100","U010",-0.998999999999999,"B gana"
198427,1,19.238,19.238,"B100","U010",0,"Empate"
299993,9,24.068,20.154,"B100","U010",3.914,"A gana"
480013,10,22.486,19.987,"B100","U010",2.499,"A gana"
602257,3,22.403,22.403,"B100","U010",0,"Empate"
659999,11,20.987,22.819,"B100","U010",-1.832,"B gana"
683731,6,22.902,22.902,"B100","U010",0,"Empate"
742801,7,19.738,19.571,"B100","U010",0.166999999999998,"A gana"
839999,12,19.404,18.322,"B100","U010",1.082,"A gana"
895651,5,17.572,19.821,"B100","U010",-2.249,"B gana"
955939,2,21.153,21.07,"B100","U010",0.0829999999999984,"A gana"
119993,8,21.07,22.986,"B100","U005",-1.916,"B gana"
191099,4,19.821,21.07,"B100","U005",-1.249,"B gana"
198427,1,19.238,19.071,"B100","U005",0.166999999999998,"A gana"
299993,9,24.068,19.321,"B100","U005",4.747,"A gana"
480013,10,22.486,20.404,"B100","U005",2.082,"A gana"
602257,3,22.403,21.487,"B100","U005",0.916,"A gana"
659999,11,20.987,19.904,"B100","U005",1.083,"A gana"
683731,6,22.902,22.069,"B100","U005",0.833000000000002,"A gana"
742801,7,19.738,20.321,"B100","U005",-0.583000000000002,"B gana"
839999,12,19.404,18.322,"B100","U005",1.082,"A gana"
895651,5,17.572,17.572,"B100","U005",0,"Empate"
955939,2,21.153,20.57,"B100","U005",0.582999999999998,"A gana"
119993,8,21.07,21.32,"B100","U001",-0.25,"B gana"
191099,4,19.821,20.487,"B100","U001",-0.665999999999997,"B gana"
198427,1,19.238,18.155,"B100","U001",1.083,"A gana"
299993,9,24.068,24.318,"B100","U001",-0.25,"B gana"
480013,10,22.486,20.237,"B100","U001",2.249,"A gana"
602257,3,22.403,21.403,"B100","U001",1,"A gana"
659999,11,20.987,15.74,"B100","U001",5.247,"A gana"
683731,6,22.902,23.319,"B100","U001",-0.416999999999998,"B gana"
742801,7,19.738,17.989,"B100","U001",1.749,"A gana"
839999,12,19.404,18.988,"B100","U001",0.416,"A gana"
895651,5,17.572,23.902,"B100","U001",-6.33,"B gana"
955939,2,21.153,20.404,"B100","U001",0.748999999999999,"A gana"
119993,8,19.821,21.82,"U040","U010",-1.999,"B gana"
191099,4,22.236,20.82,"U040","U010",1.416,"A gana"
198427,1,19.404,19.238,"U040","U010",0.166,"A gana"
299993,9,24.235,20.154,"U040","U010",4.081,"A gana"
480013,10,21.153,19.987,"U040","U010",1.166,"A gana"
602257,3,22.403,22.403,"U040","U010",0,"Empate"
659999,11,21.32,22.819,"U040","U010",-1.499,"B gana"
683731,6,22.986,22.902,"U040","U010",0.0839999999999996,"A gana"
742801,7,20.654,19.571,"U040","U010",1.083,"A gana"
839999,12,17.239,18.322,"U040","U010",-1.083,"B gana"
895651,5,18.988,19.821,"U040","U010",-0.833000000000002,"B gana"
