"SEM","semilla","ejecutado_por","modelos_con_PARAM","Kaggle_FINAL","cortes","maximos","integrado","estado"
"SEM1",198427,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM2",955939,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM3",602257,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM4",191099,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM5",895651,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM6",683731,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM7",742801,"Victor",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM8",119993,"David",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM9",299993,"David",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM10",480013,"David",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM11",659999,"David",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
"SEM12",839999,"David",5,TRUE,TRUE,TRUE,TRUE,"COMPLETA"
