"sem_nro","semilla","ejecutado_por","escenario_codigo","escenario","training_pct","training_antes","training_despues","porcentaje_real_conservado","AUC","num_leaves","min_data_in_leaf","num_iterations","ganancia_maxima","corte_maximo","cantidad_empates","duracion_minutos","archivo_fuente"
1,198427,"Victor","B100","100%",1,179449,179449,100,0.9535994,256,64,546,19.238,"850",1,14.03,"resumen_integrado_SEM1_198427.csv"
1,198427,"Victor","U040","40%",0.4,179449,72585,40.4488,0.9521889,256,64,423,19.404,"850",1,11.34,"resumen_integrado_SEM1_198427.csv"
1,198427,"Victor","U010","10%",0.1,179449,19447,10.8371,0.9507084,128,64,549,19.238,"850",1,8.85,"resumen_integrado_SEM1_198427.csv"
1,198427,"Victor","U005","5%",0.05,179449,10524,5.8646,0.9494744,64,256,1815,19.071,"1100|1250",2,8.96,"resumen_integrado_SEM1_198427.csv"
1,198427,"Victor","U001","1%",0.01,179449,3495,1.9476,0.9413423,64,64,449,18.155,"900",1,7.13,"resumen_integrado_SEM1_198427.csv"
2,955939,"Victor","B100","100%",1,179449,179449,100,0.9542267,256,64,420,21.153,"800",1,15.03,"resumen_integrado_SEM2_955939.csv"
2,955939,"Victor","U040","40%",0.4,179449,73247,40.8177,0.9509865,256,64,269,20.654,"950",1,10.42,"resumen_integrado_SEM2_955939.csv"
2,955939,"Victor","U010","10%",0.1,179449,19548,10.8933,0.9494909,256,64,451,21.07,"800",1,8.56,"resumen_integrado_SEM2_955939.csv"
2,955939,"Victor","U005","5%",0.05,179449,10678,5.9504,0.9494527,256,64,289,20.57,"950",1,7.5,"resumen_integrado_SEM2_955939.csv"
2,955939,"Victor","U001","1%",0.01,179449,3505,1.9532,0.9420844,64,64,368,20.404,"950",1,6.93,"resumen_integrado_SEM2_955939.csv"
3,602257,"Victor","B100","100%",1,179449,179449,100,0.9522136,256,256,456,22.403,"850",1,13.85,"resumen_integrado_SEM3_602257.csv"
3,602257,"Victor","U040","40%",0.4,179449,72917,40.6338,0.9518661,256,64,595,22.403,"850",1,11.28,"resumen_integrado_SEM3_602257.csv"
3,602257,"Victor","U010","10%",0.1,179449,19355,10.7858,0.9509978,128,64,572,22.403,"850",1,8.74,"resumen_integrado_SEM3_602257.csv"
3,602257,"Victor","U005","5%",0.05,179449,10463,5.8306,0.9490896,64,64,778,21.487,"900",1,8.25,"resumen_integrado_SEM3_602257.csv"
3,602257,"Victor","U001","1%",0.01,179449,3460,1.9281,0.944867,64,64,1146,21.403,"1300",1,7.74,"resumen_integrado_SEM3_602257.csv"
4,191099,"Victor","B100","100%",1,179449,179449,100,0.9528777,128,512,611,19.821,"950",1,13.86,"resumen_integrado_SEM4_191099.csv"
4,191099,"Victor","U040","40%",0.4,179449,72876,40.611,0.9525962,128,64,1124,22.236,"1250",1,12,"resumen_integrado_SEM4_191099.csv"
4,191099,"Victor","U010","10%",0.1,179449,19667,10.9597,0.9496553,128,64,671,20.82,"1050",1,8.31,"resumen_integrado_SEM4_191099.csv"
4,191099,"Victor","U005","5%",0.05,179449,10696,5.9605,0.947067,64,64,558,21.07,"800",1,7.68,"resumen_integrado_SEM4_191099.csv"
4,191099,"Victor","U001","1%",0.01,179449,3483,1.9409,0.9385181,64,64,834,20.487,"1050",1,7.08,"resumen_integrado_SEM4_191099.csv"
5,895651,"Victor","B100","100%",1,179449,179449,100,0.952001,256,64,223,17.572,"1100",1,16.34,"resumen_integrado_SEM5_895651.csv"
5,895651,"Victor","U040","40%",0.4,179449,72782,40.5586,0.9535981,256,64,557,18.988,"850",1,10.86,"resumen_integrado_SEM5_895651.csv"
5,895651,"Victor","U010","10%",0.1,179449,19547,10.8928,0.9517325,64,64,701,19.821,"800|1250",2,8.67,"resumen_integrado_SEM5_895651.csv"
5,895651,"Victor","U005","5%",0.05,179449,10623,5.9198,0.9491556,128,64,386,17.572,"800|1100",2,8.04,"resumen_integrado_SEM5_895651.csv"
5,895651,"Victor","U001","1%",0.01,179449,3394,1.8913,0.9435774,64,64,1128,23.902,"1200",1,7.6,"resumen_integrado_SEM5_895651.csv"
6,683731,"Victor","B100","100%",1,179449,179449,100,0.9536511,256,256,674,22.902,"850",1,15.69,"resumen_integrado_SEM6_683731.csv"
6,683731,"Victor","U040","40%",0.4,179449,72662,40.4917,0.9516445,128,256,585,22.986,"850",1,11.36,"resumen_integrado_SEM6_683731.csv"
6,683731,"Victor","U010","10%",0.1,179449,19490,10.861,0.9514523,128,64,419,22.902,"850",1,8.21,"resumen_integrado_SEM6_683731.csv"
6,683731,"Victor","U005","5%",0.05,179449,10633,5.9254,0.948154,256,64,366,22.069,"1150",1,7.41,"resumen_integrado_SEM6_683731.csv"
6,683731,"Victor","U001","1%",0.01,179449,3475,1.9365,0.9424497,64,64,348,23.319,"1100",1,6.81,"resumen_integrado_SEM6_683731.csv"
7,742801,"Victor","B100","100%",1,179449,179449,100,0.9538042,256,256,470,19.738,"1100",1,15.74,"resumen_integrado_SEM7_742801.csv"
7,742801,"Victor","U040","40%",0.4,179449,73072,40.7202,0.9533309,256,64,290,20.654,"950|1050",2,10.57,"resumen_integrado_SEM7_742801.csv"
7,742801,"Victor","U010","10%",0.1,179449,19429,10.827,0.9499828,256,64,313,19.571,"1100",1,8.11,"resumen_integrado_SEM7_742801.csv"
7,742801,"Victor","U005","5%",0.05,179449,10522,5.8635,0.9483484,128,64,320,20.321,"1050",1,7.4,"resumen_integrado_SEM7_742801.csv"
7,742801,"Victor","U001","1%",0.01,179449,3511,1.9565,0.943947,64,64,1166,17.989,"1300",1,7.51,"resumen_integrado_SEM7_742801.csv"
8,119993,"David","B100","100%",1,179449,179449,100,0.9526534,256,256,369,21.07,"950",1,12.42,"resumen_integrado_SEM8_119993.csv"
8,119993,"David","U040","40%",0.4,179449,72706,40.5162,0.9531401,256,64,421,19.821,"1000",1,10.41,"resumen_integrado_SEM8_119993.csv"
8,119993,"David","U010","10%",0.1,179449,19410,10.8164,0.9488472,128,64,223,21.82,"1150",1,8.21,"resumen_integrado_SEM8_119993.csv"
8,119993,"David","U005","5%",0.05,179449,10600,5.907,0.9500365,64,64,745,22.986,"850",1,7.96,"resumen_integrado_SEM8_119993.csv"
8,119993,"David","U001","1%",0.01,179449,3403,1.8964,0.9406951,64,64,385,21.32,"950",1,7.44,"resumen_integrado_SEM8_119993.csv"
9,299993,"David","B100","100%",1,179449,179449,100,0.9522531,256,64,226,24.068,"800",1,20.57,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U040","40%",0.4,179449,72787,40.5614,0.9519108,128,64,233,24.235,"800",1,9.68,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U010","10%",0.1,179449,19328,10.7707,0.9511079,128,64,431,20.154,"950",1,8.64,"resumen_integrado_SEM9_299993.csv"
9,299993,"David","U005","5%",0.05,179449,10706,5.966,0.9506772,128,64,509,19.321,"1000",1,7.78,"resumen_integrado_SEM9_299993.csv"
