"escenario_A","escenario_A_pct","escenario_B","escenario_B_pct","n_pares","n_diferencias_no_cero","mediana_delta","estadistico_W","p_value","p_value_holm","significativo_005","significativo_holm_005"
"B100","100%","U040","40%",12,11,-0.125,30,0.789675102094056,1,"NO","NO"
"B100","100%","U010","10%",12,9,0,25,0.767096868410277,1,"NO","NO"
"B100","100%","U005","5%",12,11,0.708,46,0.247746205912072,1,"NO","NO"
"B100","100%","U001","1%",12,12,0.5825,54,0.239135781857226,1,"NO","NO"
"U040","40%","U010","10%",12,11,0.0419999999999998,34.5,0.893851574333904,1,"NO","NO"
"U040","40%","U005","5%",12,12,0.8325,60,0.0992205456678157,0.992205456678157,"NO","NO"
"U040","40%","U001","1%",12,12,0.583,48,0.480176889906077,1,"NO","NO"
"U010","10%","U005","5%",12,11,0.333499999999999,47,0.213222988150949,1,"NO","NO"
"U010","10%","U001","1%",12,12,0.416500000000001,47.5,0.504739259179915,1,"NO","NO"
"U005","5%","U001","1%",12,12,0.166500000000001,43,0.753683717726157,1,"NO","NO"
